"LABEL","PLATFORM","TYPE","ENGLISH","AMERICAN","FRENCH","GERMAN","DANISH","FRENCH_CANADIAN","DUTCH","MEXICAN"
"CS_UCC_HeyIFoundTheThing","All","Subtitle","Unknown Cubic Creature: Hey, I found the thing! Uh, I mean, ''Anomaly located, master.''","Unknown Cubic Creature: Hey, I found the thing! Uh, I mean, ''Anomaly located, master.''","Créature cubique inconnue : Hé, j'ai trouvé le machin¬! Euh, je veux dire : ''Anomalie localisée, maître''.","Kubuswesen: Hey, ich hab das Dings! Äh, ich meine: Anomalie geortet, Meister.","Hey, jeg har fundet dimsen! Øh, jeg mener: ''Anomali lokaliseret, herre.''","Créature cubique inconnue : Hé, j'ai trouvé le machin¬! Euh, je veux dire : ''Anomalie localisée, maître''.","Onbekend kubuswezen: Hé, ik heb dat ding gevonden! Ik bedoel: anomalie gelokaliseerd, meester.","Criatura cúbica desconocida: ¡Oye, la encontré! Eh, quiero decir, ''Anomalía localizada, maestro''."
"TransformDummyChar","All","Char","¬","¬","¬","¬","¬","¬","¬","¬"
"DX_EXPO_YouCanSpendYourStudsZ","All","Subtitle","X-PO: You can spend studs to unlock different upgrades for your vehicle. Remember: no flame decals.","X-PO: You can spend studs to unlock different upgrades for your vehicle. Remember: no flame decals.","X-PO : Vous pouvez dépenser des pièces pour déverrouiller des améliorations sur votre véhicule. Juste une chose¬: pas d'autocollants de flammes.","X-PO: Mit Steinchen kannst du verschiedene Verbesserungen für dein Fahrzeug freischalten. Aber bitte keine Flammenaufkleber!","Du kan låse op for forskellige opgraderinger til dit fartøj ved at betale med sten. Og husk: Ingen flammelakeringer.","X-PO : Vous pouvez dépenser des pièces pour déverrouiller des améliorations sur votre véhicule. Juste une chose¬: pas d'autocollants de flammes.","X-PO: Geef noppen uit om upgrades te ontgrendelen voor je voertuig. Maar koop geen stickers met vlammen.","X-PO: Gasta piezas para desbloquear mejoras para tu vehículo. Recuerda: nada de calcomanías de llamas."
"MINEWEAPONAMMO_NAME","All","LegoAPI","Buy Mines","Buy Mines","Acheter des mines","Minen kaufen","Køb miner","Acheter des mines","Mijnen kopen","Comprar minas"
"HUB_DC","All","Game","DC Comics World","DC Comics World","DC Comics","Welt: DC Comics","DC Comics-verden","DC Comics","Wereld: DC-superhelden","Mundo de DC Comics"
"DX_WickedWitch_YouCantStealMyNewToy","All","Subtitle","Wicked Witch: You can't steal my new toy from me! I'm the only one who knows how to use it! It's of no use to you!","Wicked Witch: You can't steal my new toy from me! I'm the only one who knows how to use it! It's of no use to you!","Méchante Sorcière : Vous n'allez pas me voler mon nouveau jouet¬! Je suis la seule à savoir comment on s'en sert¬! Vous n'en avez pas besoin¬!","Böse Hexe: Ihr dürft mir mein neues Spielzeug nicht stehlen. Nur ich weiß, wie man damit umgeht. Es ist wertlos für euch!","Du må ikke tage mit nye legetøj! Jeg er den eneste, der ved, hvordan det virker! Du har ikke noget at bruge det til!","Wicked Witch : Vous n'allez pas me voler mon nouveau jouet¬! Je suis la seule à savoir comment on s'en sert¬! Vous n'en avez pas besoin¬!","Boze heks: Jullie mogen mijn nieuwe speeltje niet stelen! Ik ben de enige die weet hoe het werkt! Jullie hebben er niets aan!","Bruja Mala: ¡No pueden robarme mi nuevo juguete! ¡Solo yo sé cómo usarlo! ¡No les sirve para nada!"
"DaughterDay","All","Game","Restore the science project stands?","Restore the science project stands?","Restaurer les stands de science¬?","Die Projekte wiederaufbauen?","Reparer videnskabsprojekt-boderne?","Restaurer les stands de science¬?","De kraampjes van het wetenschapsproject herstellen?","¿Restablecer los puestos de proyectos de ciencia?"
"PORTAL_QUEST00_COM_PAGE1","All","Game","Congratulations. You have successfully walked into and collected a number of inanimate objects of questionable value. Based on your current trajectory, you are only 3,440,938 tests away from becoming a qualified garbage collector.","Congratulations. You have successfully walked into and collected a number of inanimate objects of questionable value. Based on your current trajectory, you are only 3,440,938 tests away from becoming a qualified garbage collector.","GLaDOS : Félicitations¬! Vous avez récupéré un certain nombre d'objets inanimés d'une valeur discutable en marchant dessus. Étant donné votre rythme actuel, j'éstime qu'il vous reste seulement 3¬440¬938 tests similaires à effectuer avant de passer l'échellon collectionneur de déchets.","Glückwunsch. Du bist erfolgreich in eine Anzahl unbelebter Gegenstände unbestimmten Wertes gelaufen und hast diese eingesammelt. Basierend auf deinem aktuellen Entwicklungsverlauf bist du nur 3.440.938 Tests davon entfernt, eine ausgebildete Müllperson zu werden.","Tillykke. Du er nu gået ind i, og har derved indsamlet, en mængde livløse genstande af tvivlsom værdi. Baseret på resultaterne er du kun 3.440.938 tests fra at blive en kvalificeret skraldsamler.","GLaDOS : Félicitations¬! Vous avez récupéré un certain nombre d'objets inanimés d'une valeur discutable en marchant dessus. Étant donné votre rythme actuel, j'éstime qu'il vous reste seulement 3¬440¬938 tests similaires à effectuer avant de passer l'échellon collectionneur de déchets.","Gefeliciteerd. Je hebt een aantal onbezielde voorwerpen van twijfelachtige waarde gevonden en verzameld. Op basis van je huidige koers ben je nog maar 3.440.938 tests verwijderd van de titel van gekwalificeerde vuilnisman.","Felicidades. Has llegado exitosamente y recolectaste un número de objetos inanimados con valor cuestionable. Con base en tu trayectoria actual, estás a tan solo 3,440,938 pruebas más del mismo calibre para cualificarte como recolector de basura."
"LEVEL_9GHOSTBUSTERSA","All","Level","Who You Gonna Call?","Who You Gonna Call?","Qui allez-vous appeler¬?","„Who You Gonna Call?“","Hvem Ringer Du Til?","Qui allez-vous appeler¬?","Wie ga je bellen?","¿A quién vas a llamar?"
"HINT_SCALERAIL","All","Hint","You can push rail boxes up while under them when you see the growth icon by ~7shrinking~~ and ~2growing~~ using the Toy Pad.[[newPage]]Shrink a character by placing them on the ~7Orange~~ panel of the Toy Pad then grow by placing them on a ~2Green~~ panel while under the rail to move it up.","You can push rail boxes up while under them when you see the growth icon by ~7shrinking~~ and ~2growing~~ using the Toy Pad.[[newPage]]Shrink a character by placing them on the ~7Orange~~ panel of the Toy Pad then grow by placing them on a ~2Green~~ panel while under the rail to move it up.","Lorsque dessous un cube à rail, poussez-le vers le haut  utilisant le Toy¬Pad pour ~2grandir~~ ou ~7rétrécir~~, quand vous voyez l'icône de croissance.[[newPage]]Rétrécissez un personnage en le plaçant sur le panneau ~7orange~~ du Toy¬Pad puis faites-le grandir en le plaçant sur le panneau ~2vert~~ (lorsque dessous le cube à rail).","Du kannst Würfel nach oben schieben, wenn du das Größensymbol siehst, indem du mithilfe des Toy Pads ~7schrumpfst~~ und dann wieder ~2wächst.~~[[newPage]]Schrumpf deinen Charakter, indem du ihn auf das ~7orange~~ Feld auf dem Toy Pad setzt, stell dich im Spiel unter den Würfel und setz deinen Charakter dann auf das ~2grüne~~ Feld auf dem Toy Pad.","Du kan skubbe skinnekasser op, mens du er under dem, når du kan se gro-ikonet, ved først at ~7skrumpe~~ og derefter ~2vokse~~, ved hjælp af din Toy Pad. [[newPage]]Skrump en figur, ved at placere dem på det ~7orange panel~~ på din Toy Pad, og gro dem derefter større, ved at placere dem på det ~2grønne~~ panel, mens de er under skinnekassen for at flytte det op.","Lorsque dessous un cube à rail, poussez-le vers le haut  utilisant le Toy¬Pad pour ~2grandir~~ ou ~7rétrécir~~, quand vous voyez l'icône de croissance.[[newPage]]Rétrécissez un personnage en le plaçant sur le panneau ~7orange~~ du Toy¬Pad puis faites-le grandir en le plaçant sur le panneau ~2vert~~ (lorsque dessous le cube à rail).","Je kunt spoordozen omhoog duwen terwijl je eronder staat als je het groeisymbooltje ziet. Doe dit door te ~7krimpen~~ en ~2groeien~~ via de Toy Pad.[[newPage]]Laat een personage krimpen door het op het ~7oranje~~ paneel van de Toy Pad te zetten en dan weer groeien door het op een ~2groen~~ paneel te zetten terwijl het onder het spoor staat om het omhoog te verplaatsen.","Para empujar los vagones desde abajo cuando veas los íconos ~7encógete~~ y ~2crece~~ usando el Toy Pad. con el Toy Pad cuando veas el ícono de crecimiento.[[newPage]]Coloca un personaje en el panel ~7naranja~~ para encogerlo y luego en el panel ~2verde~~ para hacerlo crecer y empujar desde abajo."
"TI_TAUNT","All","LegoAPI","Taunts enemies","Taunts enemies","Permet de narguer les ennemis","Verspottet Feinde","Driller fjender","Permet de narguer les ennemis","Vijanden uitdagen","Provoca a los enemigos"
"LEVEL_10RETROGAMESFREE","All","Level","Gauntlet Bonus Stage","Gauntlet Bonus Stage","Niveau bonus Gauntlet","Gauntlet Bonuslevel","Gauntlet Bonusbane","Niveau bonus Gauntlet","Uitdaging-bonuslevel","Nivel adicional de Gauntlet"
"DX_Wyldstyle_ThisMummyJustDoesntGiveUp","All","Subtitle","Wyldstyle: This Mummy just doesn't give up!","Wyldstyle: This Mummy just doesn't give up!","Cool Tag : Cette momie a de la suite dans les idées¬!","Wyldstyle: Diese Mumie gibt einfach nicht auf!","Den mumie giver bare ikke op.","Wyldstyle : Cette momie a de la suite dans les idées¬!","Wyldstyle: Die mummie weet niet van ophouden.","Estilo-libre: Esta momia no se rinde."
"DX_LordVortech_TakeThis","All","Subtitle","Lord Vortech: Take this! And this!","Lord Vortech: Take this! And this!","Lord Vortech : Prenez ça¬! Et ça¬!","Lord Vortech: Nimm das! Und das!","Tag den! Og den!","Lord Vortech : Prenez ça¬! Et ça¬!","Lord Vortech: Pak aan. En dit ook.","Lord Vortech: ¡Tomen esto! ¡Y esto!"
"DX_Wyldstyle_HonestJoeThat","All","Subtitle","Wyldstyle: Honest Joe... that sounds a little too untrustworthy for a name...","Wyldstyle: Honest Joe... that sounds a little too untrustworthy for a name...","Cool Tag : Joe-la-Droiture... C'est drôle, il m'inspire pas trop la confiance, ce nom...","Wyldstyle: „Ehrlicher Joe“? Klingt nicht gerade nach einem vertrauenswürdigen Namen.","Ærlige Joe ... det lyder altså som et rimelig utroværdigt navn ...","Wyldstyle : Joe-la-Droiture... C'est drôle, il m'inspire pas trop la confiance, ce nom...","Wyldstyle: Eerlijke Joe. Dat klinkt niet als een betrouwbare naam.","Estilo-libre: Joe el Honesto... ese nombre suena muy poco confiable..."
"DX_Wyldstyle_AnotherComputerMustBeInside","All","Subtitle","Wyldstyle: Another computer must be inside...if we can get in.","Wyldstyle: Another computer must be inside...if we can get in.","Cool Tag : Il doit y avoir un autre ordinateur, à l'intérieur... Si on y arrive.","Wyldstyle: Da muss noch ein Computer drin sein. Ob wir da rein kommen?","Der må være en computer mere derinde ... hvis vi kan komme derind.","Wyldstyle : Il doit y avoir un autre ordinateur, à l'intérieur... Si on y arrive.","Wyldstyle: Er moet nog een computer zijn daarbinnen. Als we binnen kunnen komen.","Estilo-libre: Debe haber otra computadora adentro... si logramos entrar."
"DX_2ndDoctor_ImNotExactly","All","Subtitle","2nd Doctor: I'm not exactly breaking the laws of time, but I am bending them a little.","2nd Doctor: I'm not exactly breaking the laws of time, but I am bending them a little.","2e Docteur : Je n'enfreins pas vraiment les règles du temps mais... je les tords un petit peu.","2. Doktor: Ich breche die Gesetze der Zeit nicht ... aber ich beuge sie ein wenig.","Jeg ville ikke sige at jeg bryder tidens love, men jeg bøjer dem en smule.","2e Docteur : Je n'enfreins pas vraiment les règles du temps mais... je les tords un petit peu.","Tweede Doctor: Ik overtreed de tijdwetten niet, ik verander ze een klein beetje.","Segundo Doctor: No estoy rompiendo las leyes del tiempo, tan solo juego con ellas."
"DX_Benny_SoIfIAddSome","All","Subtitle","Benny: So if I add some rocketboosters here... some more wings there.... aaaaaand... SPACESHIP!","Benny: So if I add some rocketboosters here... some more wings there.... aaaaaand... SPACESHIP!","Benny : Alooors, si j'ajoute des propulseurs ici... Encore des ailes ici... Eeeet... VAISSEAU SPATIAL¬!","Benny: Wenn ich hier ein paar Raketenbooster einbaue ... hier ein paar Flügel ... und fertig ist das RAUMSCHIFF!!!","Så hvis jeg sætter nogle raketmotorer her, og nogle vinger her, det ser godt og... RUMSKIB!","Benny : Alooors, si j'ajoute des propulseurs ici... Encore des ailes ici... Eeeet... VAISSEAU SPATIAL¬!","Benny: Wat raketaandrijvingen hier, wat vleugels daar en... ruimteschip!","Benny: Así que si agrego algunos motores por aquí... y también algunas alas más por allá...estaría bien yyyy... ¡Nave!"
"DX_DocEmmetBrown_IfWeApply","All","Subtitle","Doc Emmett Brown: If we apply the basic principles of science, then this task will practically solve itself!","Doc Emmett Brown: If we apply the basic principles of science, then this task will practically solve itself!","Doc Emmett Brown : En appliquant les principes élémentaires de la science, le problème devrait se résoudre tout seul¬!","Doc Emmett Brown: Wenn wir grundlegende wissenschaftliche Prinzipien anwenden, löst sich dieses Rätsel ganz von selbst.","Hvis vi anvender grundlæggende videnskabelige principper, løser opgaven sig selv!","Doc Emmett Brown : En appliquant les principes élémentaires de la science, le problème devrait se résoudre tout seul¬!","Doc Emmett Brown: Als we de basisbeginselen van de wetenschap toepassen, komt de oplossing vanzelf.","Doc Emmett Brown: Si aplicamos los principios básicos de la ciencia, ¡entonces esta tarea prácticamente se resolverá por sí misma!"
"DX_Gollum_WeMustGoYes","All","Subtitle","Gollum: Now let us continue. It's too dangerous to wait around!","Gollum: Now let us continue. It's too dangerous to wait around!","Gollum : Reprenons la route. C'est trop dangereux d'attendre ici.","Gollum: Gehen wir weiter. Es ist zu gefährlich, herumzuwarten.","Kom, lad os gå videre. Her er for farligt at vente.","Gollum : Reprenons la route. C'est trop dangereux d'attendre ici.","Gollem: We moeten verder. Het is te gevaarlijk om rond te hangen.","Gollum: Continuemos. Es muy peligroso esperar aquí."
"DX_KidGamer_PrepareToBe","All","Subtitle","Gamer Kid: Prepare to be pwned!","Gamer Kid: Prepare to be pwned!","Gamin ''gamer'' : J'vais vous mettre la pâtée¬!","Zocker: Ihr werdet gleich gepwnt!","Du bliver så meget powned!","Gamin ''gamer'' : J'vais vous mettre la pâtée¬!","Gamerkind: Ik ga je pownen.","Niño Jugador: ¡Prepárate para morir!"
"DX_MartyMcfly_IveGotToHeadTo","All","Subtitle","Marty McFly: I've got to head to the future to get me one of these!","Marty McFly: I've got to head to the future to get me one of these!","Marty McFly : Il faudrait que j'aille dans le futur pour m'en trouver un comme ça¬!","Marty McFly: Ich muss mir aus der Zukunft eins aus dieser Zukunft besorgen.","Jeg må ud i fremtiden og skaffe mig sådan en!","Marty McFly : Il faudrait que j'aille dans le futur pour m'en trouver un comme ça¬!","Marty McFly: Ik moet naar de toekomst om er ook eentje te scoren.","Marty McFly: ¡Tengo que ir al futuro a conseguirme uno de estos!"
"DX_Slimer_Moving2","All","Subtitle","¬","¬","¬","¬","¬","¬","¬","¬"
"DX_WickedWitch_HowInteresting","All","Subtitle","Wicked Witch: How interesting... but I'll have this solved in no time at all!","Wicked Witch: How interesting... but I'll have this solved in no time at all!","Méchante Sorcière : Fort intéressant... Mais je vais tirer ça au clair en un rien de temps¬!","Böse Hexe: Wie interessant! Das hab ich doch im Handumdrehen gelöst!","Hvor interessant ... den får jeg løst, før du kan sige Bloksbjerg.","Wicked Witch : Fort intéressant... Mais je vais tirer ça au clair en un rien de temps¬!","Boze heks: Interessant. Maar dit heb ik zo opgelost!","Bruja Mala: Qué interesante... ¡pero lo tendré resuelto en un santiamén!"
"CS_Frodo_Agh_06","All","Subtitle","¬","¬","¬","¬","¬","¬","¬","¬"
"CS_Wyldstyle_ItsSupermanHellHelpUs","All","Subtitle","Wyldstyle: It's Superman! He'll help us-","Wyldstyle: It's Superman! He'll help us-","Cool Tag : C'est Superman¬! Il va nous aider...","Wyldstyle: Es ist Superman, er kann uns helfen!","Det er Superman! Han hjælper os.","Wyldstyle : C'est Superman¬! Il va nous aider...","Wyldstyle: Het is Superman! Hij zal ons wel helpen!","Estilo-libre: ¡Es Superman! Nos va a ayudar..."
